,datetime,otc,names,price
0,2020-07-26 14:56:25.108314,ddaif,DAIMLER,46.20000076293945
1,2020-07-26 14:56:25.419768,baba,ALIBABA,249.0
2,2020-07-26 14:56:25.617346,tyekf,Thyssen Krupp,8.289999961853027
0,2020-07-26 14:57:25.503645,ddaif,DAIMLER,46.20000076293945
1,2020-07-26 14:57:25.795706,baba,ALIBABA,249.0
2,2020-07-26 14:57:25.985339,tyekf,Thyssen Krupp,8.289999961853027
0,2020-07-26 14:57:43.000086,ddaif,DAIMLER,46.20000076293945
1,2020-07-26 14:57:43.312269,baba,ALIBABA,249.0
2,2020-07-26 14:57:43.507464,tyekf,Thyssen Krupp,8.289999961853027
0,2020-07-26 14:58:23.176367,ddaif,DAIMLER,46.20000076293945
1,2020-07-26 14:58:23.505584,baba,ALIBABA,249.0
2,2020-07-26 14:58:23.700995,tyekf,Thyssen Krupp,8.289999961853027
0,2020-07-26 15:05:40.070996,ddaif,DAIMLER,46.20000076293945
1,2020-07-26 15:05:40.384397,baba,ALIBABA,249.0
2,2020-07-26 15:05:40.575690,tyekf,Thyssen Krupp,8.289999961853027
0,2020-07-26 15:20:48.935815,ddaif,DAIMLER,46.20000076293945
1,2020-07-26 15:20:49.251935,baba,ALIBABA,249.0
2,2020-07-26 15:20:49.451404,tyekf,Thyssen Krupp,8.289999961853027
0,2020-07-26 15:35:01.532291,ddaif,DAIMLER,46.20000076293945
1,2020-07-26 15:35:01.849185,baba,ALIBABA,249.0
2,2020-07-26 15:35:02.050122,tyekf,Thyssen Krupp,8.289999961853027
0,2020-07-26 15:35:10.111372,ddaif,DAIMLER,46.20000076293945
1,2020-07-26 15:35:10.416165,baba,ALIBABA,249.0
2,2020-07-26 15:35:10.593679,tyekf,Thyssen Krupp,8.289999961853027
0,2020-07-26 15:36:58.475978,ddaif,DAIMLER,46.20000076293945
1,2020-07-26 15:36:58.799728,baba,ALIBABA,249.0
2,2020-07-26 15:36:58.966147,tyekf,Thyssen Krupp,8.289999961853027
0,2020-07-26 18:09:53.091873,ddaif,DAIMLER,46.20000076293945
1,2020-07-26 18:09:53.391343,baba,ALIBABA,249.0
2,2020-07-26 18:09:53.566369,tyekf,Thyssen Krupp,8.289999961853027
0,2020-07-26 19:00:55.125831,ddaif,DAIMLER,46.20000076293945
1,2020-07-26 19:00:55.441544,baba,ALIBABA,249.0
